行业,批次,不限专业,公司名称,学历,岗位更新日期,官方公告,岗位,网申入口,含免笔试,截止时间,企业类型,招聘对象,备注,工作城市
电商,春招,0,字节跳动,博士,2026/04/19,https://mp.weixin.qq.com/s/Ye1ioIPhrWw1ZkDBht5wTQ,AI Coding，AI for Science，AIGC，硬件，安全/AI Safety，搜索/推荐/广告，视频架构，大模型应用，计算机体系结构与系统优化,https://jobs.toutiao.com/campus/techresearch,0,招满即止,民企,"2026, 2027",专注大模型与AI前沿领域，提供TOP级薪资回报与全球办公机会，仅限博士，参考薪资40k-80k*15。,"上海, 北京, 悉尼, 成都, 杭州, 深圳, 圣何塞, 新加坡, 西雅图, 圣地亚哥"
制造业,春招,1,汇馨食品,"大专,本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/sEHTwT7S1yva_ND9buhvJQ,研发助理，外贸管培生，生产管培生，销售管培生,https://mp.weixin.qq.com/s/sEHTwT7S1yva_ND9buhvJQ,0,招满即止,民企,2026,"包吃包住, 五险, 超长年假, 专属人才培养计划, 薪资面议",成都
"车企,互联网",春招,0,启明信息,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/YJ-IpbIRt6u8qQ43pnP7dw,双百人才计划岗位,https://faw-zhaopin.hotjob.cn/mobile/home,0,招满即止,央国企,2026,"一汽集团核心IT子公司, 提供六险二金及企业年金, 解决长春落户, 预计薪资10k-15k*14",长春
制造业,春招,0,川仪股份,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/qCy2F-N6b7Wcxjyh5ak9Ng,工艺类，研发类，销售类，应用技术类，科技攻关类，职能管理类,https://cqcy.zhaopin.com/,0,招满即止,央国企,2026,"五险两金, 住房补助, 交通补助, 工作餐, 8k~15k*14",重庆
"金融,银行",春招,1,广发银行南宁分行,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/VwfwoVnPce0nOA-z-4Ruew,分行营销英才（南宁）,https://chinalife.zhiye.com/custom/campus?ClassificationTwo=536&two_name=%E5%B9%BF%E5%8F%91%E9%93%B6%E8%A1%8C%E5%8D%97%E5%AE%81%E5%88%86%E8%A1%8C,0,2026-04-20,央国企,"2025, 2026",提供六险二金、三年专项补贴、带薪年假及丰富节日福利，参考月薪10k-15k,南宁
互联网,春招补录,0,浩鲸科技,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/ub1bJ3F63fp69Z2WSFoLGw,Java开发工程师 (国内)，后端开发 (python方向)，国际交付工程师，图像算法工程师，数据挖掘工程师，全球销售管培生 (葡萄牙语)，数据库开发工程师,https://mp.weixin.qq.com/s/ub1bJ3F63fp69Z2WSFoLGw,0,招满即止,民企,2026,"有七险一金, 节日活动, 双通道晋升, 10k~18k*14","南京, 广州, 福州, 长沙"
"农业,交通运输",春招,1,煜谦 (RIVERKING),"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/EqLQHOBUwAF0S8EXYogiCA,仓储管培生，商品管培生，批发储备销售管培生，渠道管理与运营管培生,https://mp.weixin.qq.com/s/EqLQHOBUwAF0S8EXYogiCA,0,招满即止,民企,2026,"提供员工宿舍,水果内购福利,一对一导师带教,8k~12k*13",上海
电商,春招,0,字节跳动集团职能,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/6r8-9qBOv5P-p3sD0CD81A,HRBP，招聘类，采购经营，集团内控，人才系统AI产品经理，国际现金管理，人力与管理策略类，企业文化沟通研究，企业服务策略中台，企业服务综合运营,https://jobs.toutiao.com/campus/position?keywords=%E4%BA%BA%E5%8A%9B%E4%B8%8E%E7%AE%A1%E7%90%86\x26amp;category=6704216386916321540%2C6704216480889702664%2C6850051245856524558%2C6704216727414114564\x26amp;location=\x26amp;project=7525009396952582407%2C7194661126919358757\x26amp;type=\x26amp;job_hot_flag=\x26amp;current=1\x26amp;limit=10\x26amp;functionCategory=\x26amp;tag=\x26amp;spread=63RJW5M,0,招满即止,民企,"2026, 2027, 2028","六险一金,免费三餐,房补丰厚,20k-35k*15","上海, 北京, 南京, 成都, 武汉, 深圳, 西安"
医药生物,暑期实习,0,Cytiva,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/47NZKo2O4e1DSddgSDtPwg,"生命科学业务实习生,流程优化家,工程协作家,活动策划家,AI开发家,AI行动家",https://xyz.51job.com/consumer/pc/home/index?ctmid=9289406,1,2026-05-15,外企,预计2027年7月1日前毕业的在校生,"含转正机会, 需2026年7-8月全职实习, 丹纳赫集团旗下生命科学巨头, 专属Mentor带教。","上海, 广州"
互联网,暑期实习,0,OPPO ,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/wGwgnSRp8YZareC16zq4ug,"ID设计师,CMF设计师,UI视觉设计师,动效设计师,交互设计师,影像效果设计师,营销视觉设计师",https://mp.weixin.qq.com/s/wGwgnSRp8YZareC16zq4ug,1,招满即止,民企,2027届,"针对2027届设计人才, 涵盖工业/UI/交互等7大核心岗, 表现优异可提前锁定校招OFFER.","深圳市, 东莞市"
"电商,互联网",日常实习,0,淘天集团T-Star顶尖人才,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/HB3HxjOVPbBPJVDXKNY0cQ,T-Star顶尖技术人才实习生,https://talent.taotian.com/star/home,0,招满即止,民企,2027届及以后毕业,"阿里星继承项目, 针对27届及以后顶尖技术人才, 聚焦AIGC/大模型等核心领域, 提供行业顶尖薪资回报。",全国
"金融,银行",春招,1,太和农商银行,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/WJGWY9N7aHexcu3ksd8R2g,金融业务岗，金融科技岗,https://arcuxy2026.zhaopin.com/,0,2026-04-26,央国企,2026,"有五险一金,节日福利,定期体检,最低服务年限5年,6k~10k*14",太和
制造业,春招,0,华勤技术,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/NvSC0wKhP5h8JfDmSh08vQ,制造类岗位,https://jobs.huaqin.com/,0,招满即止,民企,2026,全球智能硬件ODM龙头，提供五险一金、餐补、班车及宿舍，薪资参考10k-18k*13-15,上海
"能源,新能源",春招,0,中国海油,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/7uXnrIhE5UmPjK6X9xpEKQ,金融服务类，新能源业务类，炼化与销售类，专业技术服务类，天然气及发电类，油气勘探开发类，集团总部管培生,http://cnooc.zhaopin.com/,0,2026-05-08,央国企,"2024, 2025, 2026","解决北京户口, 六险二金, 提供单身公寓与员工食堂, 15k~25k*16",全国
制造业,春招,0,国机重装,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/RI8mKiiDGhYmxTmU571wcw,理工类专业岗位，经管类专业岗位，人文社科类专业岗位,https://mp.weixin.qq.com/s/RI8mKiiDGhYmxTmU571wcw,0,招满即止,央国企,"2025, 2026",提供八险二金及安家费补贴，解决落户并提供人才公寓，综合年薪12k-25k*14,"北京, 德阳, 成都, 海外, 西安, 镇江"
"金融,银行",春招,0,临安农商银行,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/uuvFFUlHw3PiB8isKLA0ZQ,综合通用岗,https://xyz.51job.com/External/Apply.aspx?CtmID=9008134,0,2026-04-20,央国企,2026,"有六险二金,企业年金,补充医疗,年休疗养,15w-20w",杭州
快消,春招,0,登康口腔,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/GQ4HQlFhE_w8oSuVGihq0g,设备维修师,https://shortapis.com/xzpro/?target64=aHItenBAZGVuY2FyZS5jb20uY24=,0,2026-04-24,央国企,2026,"重庆国资背景, 核心品牌冷酸灵, 五险一金, 各种补贴, 6k-10k*13",重庆
制造业,春招,0,长沙格力,"大专,本科",2026/04/19,https://mp.weixin.qq.com/s/0LDvLG77xmDNQhhyPiZiDg,电商主播，工艺工程师，生产管理类，设备技术员，质量管理员,https://jsj.top/f/vtywa3,0,招满即止,民企,2026,"双休,五险一金,落户宁乡,提供单人单间公寓,5.5k~10k",长沙
互联网,日常实习,0,荣耀,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/zKTbhf-HPSxYvoXfUeDprA,"机器人强化学习算法工程师,机器人运动规划与控制工程师,机器人具身大模型与数据算法工程师,机器人三维感知与多模态算法工程师,机器人VLA和强化学习算法工程师,机器人软件系统开发工程师,机器人关节电机驱动算法工程师,机器人整机架构师,机器人整机设计工程师,机器人灵巧手设计工程师,机器人一体化关节设计工程师,机器人硬件开发工程师,机器人系统测试工程师",https://www.hihonor.com/cn/career,0,招满即止,民企,不限年级,"薪资未提及, 需实习3-6个月及以上, 荣耀机器人核心研发团队, 随时入职。","上海, 北京, 深圳"
互联网,暑期实习,0,海康威视,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/Mh-lQc1BV4MGs__wJDae5Q,"工艺工程师,采购专员,EHS工程师,生产计划专员,物料控制专员,资料开发专员,产品质量工程师,供应商质量管理工程师,物料专员",https://campushr.hikvision.com/,1,招满即止,民企,2027届（毕业时间在2026年9月及之后）,"提供转正机会, 需实习2个月以上, 海康威视一级业务单元供应链中心直招。","杭州, 武汉, 重庆"
互联网,暑期实习,0,美图,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/RHbANxYZW7yh7zbuN7Qi1w,"风控算法,AI应用开发,AI产品,前端开发,测试开发,全栈开发,视觉设计,战略分析,数据分析,用户研究,计算机视觉算法,多模态大模型算法,AI Agent研发,影像产品,增长&运营,移动端开发,后端/服务端开发,效果设计",https://shortapis.com/xzpro/?target64=cmVjcnVpdG1lbnRAbWVpdHUuY29t,1,2026-05-31,民企,2027届,"针对2027届毕业生, 聚焦AI算法与应用核心组, 厦门/北京/深圳/悉尼多地办公。","北京, 厦门, 悉尼, 深圳"
车企,日常实习,0,理想汽车,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/Kjewd1QYeNKRsBptuLE2sw,"世界模型算法实习,具身智能算法实习,强化学习算法实习,跨本体VLA大模型算法实习,智能体算法实习,大模型后训练实习",https://www.lixiang.com/employ/campus.html,0,招满即止,民企,不限年级,"市场TOP级薪酬, 提前锁定校招Offer, 顶级导师1对1, 理想汽车AI核心算法组。","上海, 北京"
"制造业,半导体",春招,0,厦门火炬集团,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/AydU1-KXlxL8QspJ5uNBCw,招商运营类，管理培训生，综合管理类，规划建设类，财务金融类,https://mp.weixin.qq.com/s/AydU1-KXlxL8QspJ5uNBCw,0,招满即止,央国企,2026,厦门市属直管国有企业，提供六险二金及完善的福利体系，年薪参考12k-18k*14。,厦门
交通运输,春招,1,重庆轮船,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/dL2KM6QPPzAA-qkYgisprg,人事主管，运营主管，新媒体运营主管,https://www.cqrc.net/gzw/index/,0,2026-04-26,央国企,2026,"国企背景,五险一金,工会福利,激励薪酬,6k~7k",重庆
车企,暑期实习,0,延锋,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/Aw5EFxmefS1u4M0dIzdpuw,"汽车类实习生,机械类实习生,材料类实习生,设计类实习生,电子类实习生",https://app.mokahr.com/m/campus-recruitment/yanfeng/45086,0,招满即止,央国企,2027届,"提供实习津贴与免费工作餐, 需实习满2个月, 表现优异可提前锁定秋招Offer, 汽车零部件龙头企业。","上海, 南京, 合肥, 宁波, 常熟, 广州, 徐州, 柳州, 武汉, 芜湖, 重庆, 开封"
制造业,日常实习,0,伍尔特集团,"大专,本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/-HJxUCrv1PZCpnXnfl889A,"采购实习生,行政实习生,数字化实习生,实验室实习生",https://shortapis.com/xzpro/?target64=cmVjcnVpdG1lbnRAd3VydGgtaG9sZGluZy5jbg==,0,招满即止,外企,2027届（采购岗可考虑2026届）,"140/天, 需实习2个月以上且每周3天, 德国伍尔特集团核心业务部门, 有转正机会.","上海, 嘉兴"
金融,春招,0,YY评级,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/LwI9A4Ja--FolRrTXAfyzw,研究员(信用分析)，研究员(宏观策略)，产品销售，程序员（前后端开发）,https://shortapis.com/xzpro/?target64=cmVjcnVpdG1lbnRAcmF0aW5nZG9nLmNu,0,招满即止,民企,2027,"高标准薪资, 丰厚年终奖, 高额医疗险, 实习期有补贴且提供留用机会, 15k~25k*14","上海, 北京, 深圳, 香港"
金融,春招,0,中国中信金融资产,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/ttL_-Dgy2f7sMj8pgEiavg,法律类，财会类，金融类，信息技术类，综合管理类,https://mp.weixin.qq.com/s/ttL_-Dgy2f7sMj8pgEiavg,0,招满即止,央国企,2026,中信集团成员单位，提供六险二金及完善福利，往年参考月薪15k-25k，有解决北京户口机会。,北京
交通运输,春招,0,中国南方航空,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/jCJZx-CkRLUouXXKCoPFrQ,校园招聘岗位,https://job.csair.cn/#/crew/home?type=3,0,招满即止,央国企,2026,"央企大平台, 六险二金, 提供免费工作餐及宿舍补贴, 10k-18k*13",全国
"制造业,航天航空",春招,0,六合特材,"大专,本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/0BWxKPohiVS1nPQojDSXIw,专题研究员，机械技术员，炉窑技术员，理化检测员，电气技术员,http://www.sclhsmm.com/,0,招满即止,民企,2026,"提供免费食宿, 五险一金, 节日福利, 专精特新小巨人企业, 薪资约6k-12k","绵阳, 江油"
车企,暑期实习,0,上汽通用&泛亚,"本科,硕士,博士",2026/04/18,https://mp.weixin.qq.com/s/FuI5uAXBkw7113tyO86VBg,"设计类,智能制造类,采购类,营销类,人力资源类,软件及数字化类,工程研发类,产品规划及分析类,供应链管理类&质量管理类",https://sgm.zhiye.com/campus,1,招满即止,合资,2027届毕业生,"提供餐补与非沪籍住宿补贴, 2026年7月到岗现场实习, 表现优异可提前锁定2027届校招正式Offer。","上海, 武汉, 烟台"
